corpus,feature,modele_1,modele_2,pearson_r,p_value,n
Texte,distance_dependance_moy,sequoia,zenodo-spoken,0.8462,0.0,1473
Texte,distance_dependance_moy,sequoia,stanza,0.741,1.2163244998364768e-256,1473
Texte,distance_dependance_moy,rhapsodie,zenodo-spoken,0.8948,0.0,1473
Texte,distance_dependance_moy,rhapsodie,stanza,0.6971,8.396121249208614e-215,1473
Texte,distance_dependance_moy,zenodo-spoken,stanza,0.7096,5.9266255445468715e-226,1473
Texte,distance_dependance_var,gsd,fsmb,0.8278,0.0,1473
Texte,distance_dependance_var,gsd,sequoia,0.9207,0.0,1473
Texte,distance_dependance_var,gsd,rhapsodie,0.8899,0.0,1473
Texte,distance_dependance_var,gsd,zenodo-spoken,0.812,0.0,1473
Texte,distance_dependance_var,gsd,stanza,0.8592,0.0,1473
Texte,distance_dependance_var,fsmb,sequoia,0.9084,0.0,1473
Texte,distance_dependance_var,fsmb,rhapsodie,0.9152,0.0,1473
Texte,distance_dependance_var,fsmb,zenodo-spoken,0.879,0.0,1473
Texte,distance_dependance_var,fsmb,stanza,0.6962,4.8795714246478264e-214,1473
Texte,distance_dependance_var,sequoia,rhapsodie,0.9334,0.0,1473
Texte,distance_dependance_var,sequoia,zenodo-spoken,0.8736,0.0,1473
Texte,distance_dependance_var,sequoia,stanza,0.7976,0.0,1473
Texte,distance_dependance_var,rhapsodie,zenodo-spoken,0.8935,0.0,1473
Texte,distance_dependance_var,rhapsodie,stanza,0.785,3.5998576195078497e-308,1473
Texte,distance_dependance_var,zenodo-spoken,stanza,0.7312,1.2174215687853808e-246,1473
Texte,nb_dependances_moy_phrase,gsd,fsmb,1.0,0.0,1473
Texte,nb_dependances_moy_phrase,gsd,sequoia,1.0,0.0,1473
Texte,nb_dependances_moy_phrase,gsd,rhapsodie,1.0,0.0,1473
Texte,nb_dependances_moy_phrase,gsd,zenodo-spoken,1.0,0.0,1473
Texte,nb_dependances_moy_phrase,gsd,stanza,0.9164,0.0,1473
Texte,nb_dependances_moy_phrase,fsmb,sequoia,1.0,0.0,1473
Texte,nb_dependances_moy_phrase,fsmb,rhapsodie,1.0,0.0,1473
Texte,nb_dependances_moy_phrase,fsmb,zenodo-spoken,1.0,0.0,1473
Texte,nb_dependances_moy_phrase,fsmb,stanza,0.9164,0.0,1473
Texte,nb_dependances_moy_phrase,sequoia,rhapsodie,1.0,0.0,1473
Texte,nb_dependances_moy_phrase,sequoia,zenodo-spoken,1.0,0.0,1473
Texte,nb_dependances_moy_phrase,sequoia,stanza,0.9164,0.0,1473
Texte,nb_dependances_moy_phrase,rhapsodie,zenodo-spoken,1.0,0.0,1473
Texte,nb_dependances_moy_phrase,rhapsodie,stanza,0.9164,0.0,1473
Texte,nb_dependances_moy_phrase,zenodo-spoken,stanza,0.9164,0.0,1473
Texte,nb_dependances_var_phrase,gsd,fsmb,1.0,0.0,1473
Texte,nb_dependances_var_phrase,gsd,sequoia,1.0,0.0,1473
Texte,nb_dependances_var_phrase,gsd,rhapsodie,1.0,0.0,1473
Texte,nb_dependances_var_phrase,gsd,zenodo-spoken,1.0,0.0,1473
Texte,nb_dependances_var_phrase,gsd,stanza,0.2767,2.7103988233940493e-27,1473
Texte,nb_dependances_var_phrase,fsmb,sequoia,1.0,0.0,1473
Texte,nb_dependances_var_phrase,fsmb,rhapsodie,1.0,0.0,1473
Texte,nb_dependances_var_phrase,fsmb,zenodo-spoken,1.0,0.0,1473
Texte,nb_dependances_var_phrase,fsmb,stanza,0.2767,2.7103988233940493e-27,1473
Texte,nb_dependances_var_phrase,sequoia,rhapsodie,1.0,0.0,1473
Texte,nb_dependances_var_phrase,sequoia,zenodo-spoken,1.0,0.0,1473
Texte,nb_dependances_var_phrase,sequoia,stanza,0.2767,2.7103988233940493e-27,1473
Texte,nb_dependances_var_phrase,rhapsodie,zenodo-spoken,1.0,0.0,1473
Texte,nb_dependances_var_phrase,rhapsodie,stanza,0.2767,2.7103988233940493e-27,1473
Texte,nb_dependances_var_phrase,zenodo-spoken,stanza,0.2767,2.7103988233940493e-27,1473
Texte,nb_phrases,gsd,fsmb,1.0,0.0,1473
Texte,nb_phrases,gsd,sequoia,1.0,0.0,1473
Texte,nb_phrases,gsd,rhapsodie,1.0,0.0,1473
Texte,nb_phrases,gsd,zenodo-spoken,1.0,0.0,1473
Texte,nb_phrases,gsd,stanza,0.2515,1.1141276534818753e-22,1473
Texte,nb_phrases,fsmb,sequoia,1.0,0.0,1473
Texte,nb_phrases,fsmb,rhapsodie,1.0,0.0,1473
Texte,nb_phrases,fsmb,zenodo-spoken,1.0,0.0,1473
Texte,nb_phrases,fsmb,stanza,0.2515,1.1141276534818753e-22,1473
Texte,nb_phrases,sequoia,rhapsodie,1.0,0.0,1473
Texte,nb_phrases,sequoia,zenodo-spoken,1.0,0.0,1473
Texte,nb_phrases,sequoia,stanza,0.2515,1.1141276534818753e-22,1473
Texte,nb_phrases,rhapsodie,zenodo-spoken,1.0,0.0,1473
Texte,nb_phrases,rhapsodie,stanza,0.2515,1.1141276534818753e-22,1473
Texte,nb_phrases,zenodo-spoken,stanza,0.2515,1.1141276534818753e-22,1473
Texte,nb_tokens,gsd,fsmb,1.0,0.0,1473
Texte,nb_tokens,gsd,sequoia,1.0,0.0,1473
Texte,nb_tokens,gsd,rhapsodie,1.0,0.0,1473
Texte,nb_tokens,gsd,zenodo-spoken,1.0,0.0,1473
Texte,nb_tokens,gsd,stanza,0.9936,0.0,1473
Texte,nb_tokens,fsmb,sequoia,1.0,0.0,1473
Texte,nb_tokens,fsmb,rhapsodie,1.0,0.0,1473
Texte,nb_tokens,fsmb,zenodo-spoken,1.0,0.0,1473
Texte,nb_tokens,fsmb,stanza,0.9936,0.0,1473
Texte,nb_tokens,sequoia,rhapsodie,1.0,0.0,1473
Texte,nb_tokens,sequoia,zenodo-spoken,1.0,0.0,1473
Texte,nb_tokens,sequoia,stanza,0.9936,0.0,1473
Texte,nb_tokens,rhapsodie,zenodo-spoken,1.0,0.0,1473
Texte,nb_tokens,rhapsodie,stanza,0.9936,0.0,1473
Texte,nb_tokens,zenodo-spoken,stanza,0.9936,0.0,1473
