Texte,source_fichier
"Les Etats-nations apparaissent alors comme avant tout des outils de domination au sein desquels la violence peut trouver un moyen d'expansion illimité: C'est l'exemple des Etats totalitaires nazi, nippon ou soviétique au XXe siècle, qui tous se sont engagés dans des guerres de conquête (l'Europe de l'Est pour le nazisme, l'Europe de l'Est pour l'URSS, la Mandchourie pour le Japon) uniquement motivées par la volonté de domination.",Histoire_et_Violence
"On voit que ce qui détermine la légitimité de ce monopole de la violence physique est bien la force et non la légitimité légale, car le totalitarisme nazi émerge dans un Etat de droit qui est celui de la République de Weimar.",Histoire_et_Violence
"En effet, l'article 48 de la Constitution de Weimar permit au chancelier Hindenburg de déclarer l'état d'urgence et de gouverner en dictateur sur une courte période ; article qui fut utilisé par Hitler pour lancer sa politique fasciste lorsqu'il remplaça Hindenburg en 1933 (cf.",Histoire_et_Violence
"Agamben, Homo Sacer 2, L'Etat d'exception).",Histoire_et_Violence
Cet exemple montre que la violence et le droit ne sont pas antinomiques.,Histoire_et_Violence
"En effet, ce n'est pas tant le rapport de la violence à la norme qui est substantiel, que le rapport de la violence à une norme spécifique qui est celle de la répétition et de l'organisation du temps social.",Histoire_et_Violence
"Il faut pour démontrer cela, faire retour à la pulsion de mort telle qu'elle est découverte par la psychanalyse freudienne (Deuil et mélancolie) - la pulsion de mort est un désir de néantisation des excitations psychiques qui sont associées aux phénomènes de répétition.",Histoire_et_Violence
"Or tout est répétition dans l'existence : le sommeil, le réveil, la satisfaction des besoins vitaux tels que l'alimentation, les activités de travail ou de loisir, etc.",Histoire_et_Violence
"Tous ces comportements sont associés à des excitations psychiques toujours répétées, or ce sont ces excitations que refuse la pulsion de mort.",Histoire_et_Violence
"En refusant la répétition, qui n'est pas répétition du même mais répétition de singularités (on ne rêve jamais exactement la même chose dans le sommeil, on peut ne pas manger le même repas, etc.).",Histoire_et_Violence
"La pulsion de mort recherche un recommencement perpétuel, elle veut faire table rase et repartir de zéro ; c'est l'élément destructif et négateur qui la caractérise, or cet élément réside dans la violence.",Histoire_et_Violence
"Cette dernière est par conséquent un refus de ce qui a été, un refus de la durée même et donc du temps.",Histoire_et_Violence
"Le temps est également aboli dans le sentiment que la répétition est une répétition du même, car la pulsion de mort ramène chaque répétition à la mêmeté d'une excitation psychique : tout se ramène alors à la forme de cette excitation vidée de contenu, contenu lui-même vidé de sens, étant donné que c'est par le sens que le contenu de cette excitation psychique peut lui-même se constituer comme un contenu.",Histoire_et_Violence
"Ainsi, la pulsion de mort, en aliénant le sujet de son existence temporelle, détruit également l'identité du sujet ; ce qui fait qu'il demeure égal à lui-même dans le temps est brisé avec la répétition et le refus de la durée.",Histoire_et_Violence
"D'où que l'inscription au sein d'une constitution garantissant l'Etat de droit d'un article autorisant les pleins pouvoirs, même sur une courte durée et de manière exceptionnelle, présente un risque pour la paix au sein de ce même État, car c'est une autorisation à faire table rase, pour une période donnée, du respect du droit qui prévalait jusqu'alors ; elle représente donc une brèche pour la pulsion de mort, une brisure du temps démocratique qui peut ne pas se refermer si les circonstances sont défavorables.",Histoire_et_Violence
"Ainsi, il apparaît qu'un Etat de droit où serait garantie la non brisure du temps, de la durée démocratique, pourrait fournir un cadre satisfaisant à la pulsion de mort qui fonde la violence.",Histoire_et_Violence
On voit que cela n'est possible que si cependant existe une conscience de cette durée démocratique au niveau des législateurs.,Histoire_et_Violence
Il faudrait alors au législateur la conviction que la violence se fait par l'Histoire mais qu'au contraire c'est l'organisation et la compréhension sociale du temps qui détermine l'expansion de la violence.,Histoire_et_Violence
C'est ce qu'enseigne un regard anthropologique sur les sociétés sans État comme celui de Pierre Clastres dans La société contre l'Etat (ch. 11).,Histoire_et_Violence
"Clastres montre, à partir des Tupi-Guarani, que les sociétés sans Etat sont des sociétés sans domination.",Histoire_et_Violence
"Cette dernière s'institue lorsqu'un guerrier impétueux et avide de gloire tente d'entraîner la population dans des guerres vaines et coûteuses ; la domination se constitue par l'absence de résistance à la démesure de ce chef, mais Clastres montre que souvent le chef n'est pas suivi par la population lorsque ses ambitions semblent exagérées ; ainsi ces sociétés restent sans État parce que la violence illimitée, la démesure, conserve son ridicule auprès de la population, et ne devient alors jamais légitime.",Histoire_et_Violence
La cause en est que la guerre est davantage associée à un loisir des hommes qu'à une fonction - le combat est pour les hommes un loisir où ils font l'épreuve ludique de leur force.,Histoire_et_Violence
"C'est ici un exemple de violence encadrée, régulée par le jeu ou le rite, qui associe son expression à un plaisir immédiat et épisodique incompatible avec une institutionnalisation sur longue durée et dans une structure de type étatique de la domination.",Histoire_et_Violence
D'où que ces sociétés sans Etat demeurent de petite taille car aucun esprit de conquête ne les anime.,Histoire_et_Violence
"Par ailleurs, ces sociétés ont une conception du temps cyclique proche des sociétés antiques gréco-romaines, car le temps social est organisé en fonction du cycle des saisons, les périodes de moisson sont les périodes de travail, mais celui-ci n'est pas rendu permanent comme dans une société productiviste, il reste occasionnel, le reste du temps étant occupé par les loisirs.",Histoire_et_Violence
On ne peut faire ici l'économie d'une distinction fondamentale entre ce temps cyclique et le temps linéaire qui caractérise la conception occidentale et chrétienne du temps depuis saint Augustin.,Histoire_et_Violence
"En arrachant le temps à l'Histoire même, elle fait nécessairement s'inscrire la violence dans une autre dimension que la dimension ludique ou rituelle ; elle l'inscrit dans une perspective métaphysique qui pose le dépassement de la violence dans une idéologie du progrès, entendu comme un progrès de la culture et de la civilisation sur une nature humaine primitive et archaïque.",Histoire_et_Violence
L'Occident chrétien détermine une conception de l'histoire et du temps qui modifie profondément l'expression et la compréhension de la violence.,Histoire_et_Violence
"En posant le dogme chrétien de la chute comme fondateur, Augustin envisage un temps linéaire qui est celui de l'Histoire telle que pensée par l'Occident : en effet, dans la culture chrétienne l'homme vient au monde en ayant une fin prédéterminée qui est la fin eschatologique du rachat de son âme pécheresse dont tout homme hérite depuis la chute d'Adam et Eve du paradis.",Histoire_et_Violence
"Ainsi le temps de l'existence du chrétien est marqué par un commencement et une fin, et entièrement tendu vers l'accomplissement de cette fin (le salut de l'âme dans l'au-delà, cf.",Histoire_et_Violence
"Confessions, livre X).",Histoire_et_Violence
Cette existence est envisagée comme un progrès continu vers cette fin.,Histoire_et_Violence
"Or c'est cette histoire individuelle que l'Occident chrétien projette dans sa conception de l'histoire collective, elle-même tendue vers le progrès, mais non plus un progrès eschatologique mais un progrès technologique et technique de maîtrise (de domination) de la nature.",Histoire_et_Violence
"L'abolition du temps cyclique dans la théologie chrétienne semble alors fonctionner comme une destitution de la pulsion de mort dans l'Histoire, par glissement progressif du domaine existentiel, individuel, au domaine historique, collectif.",Histoire_et_Violence
"Ainsi, la violence est envisagée elle-même sur le mode d'une temporalité linéaire comme une chose à dépasser, à surmonter, tandis que la temporalité cyclique ne pouvait que l'intégrer au sein d'une pratique ludique ou rituelle, en permettant la gestion.",Histoire_et_Violence
"Au contraire, dans la pensée chrétienne la violence doit tendre à sa suppression.",Histoire_et_Violence
"C'est ainsi que Kant l'envisage tant dans Idée d'une histoire universelle au point de vue cosmopolitique : le conflit, la guerre sont porteurs d'un enseignement, ils font prendre conscience aux hommes du caractère destructeur de la violence et les incite par le mal même, à rechercher une solution à cette violence, qui passe essentiellement par l'idée d'un droit international régulant les guerres, mais aussi par l'établissement d'un gouvernement mondial s'appuyant sur le commerce économique pour adoucir les moeurs.",Histoire_et_Violence
C'est ce qui mène Kant à défendre l'idée d'une paix perpétuelle (Vers la paix perpétuelle).,Histoire_et_Violence
"D'un tel point de vue téléologique, il y a une vertu à la violence car elle résulte d'une mise en compétition des hommes qui ne se fait pas pour le jeu cette fois ci mais parce qu'il y a de plus sérieux, soit le progrès de l'humanité vers la fin de la violence et de la guerre (une paix perpétuelle).",Histoire_et_Violence
"Ainsi, les arbres dans une forêt poussent haut et droit lorsqu'ils sont les uns à côté des autres, en concurrence pour qu'ils puissent atteindre une place au soleil par leurs cimes tandis que l'arbre qui pousse seul restera rabougri, arbustif, et à l'ombre (Idée d'une histoire universelle, chap.5).",Histoire_et_Violence
"Cependant, si la violence est une vertu dans cette compétition, comment justifier qu'il soit à la fin préférable de l'abolir ?",Histoire_et_Violence
Comment peut-on aboutir à une paix perpétuelle tandis que cette paix a besoin de se confronter aux effets de la violence et de la guerre pour se décider et s'établir ?,Histoire_et_Violence
Il y a là une contradiction qui repose sur une métaphysique de la raison.,Histoire_et_Violence
"En effet, l'homme de la philosophie kantienne de l'histoire est plongé dans la guerre et la violence comme dans l’expérience.",Histoire_et_Violence
"Or, sa raison exige toujours d’outrepasser l’expérience.",Histoire_et_Violence
"Dès lors, cet homme qui comment la violence par l’expérience ne peut que développer l’idée régulatrice d’une paix perpétuelle.",Histoire_et_Violence
"Mais celle-ci est une illusion de la raison dont aucune expérience n’est possible, mais si Kant la croit néanmoins utile, c’est parce qu’il envisage encore la raison comme un contenu de vérité (critique que formule Deleuze à son encontre dans Différence et répétition).",Histoire_et_Violence
"Contre cette illusion d'un contenu de vérité permanent, il faut reconnaître l'importance du hasard qui détermine la vérité comme une rencontre contingente.",Histoire_et_Violence
"C'est ce à quoi invite Simone Weil dans La pesanteur et la grâce (23, Hasard).",Histoire_et_Violence
"L'idée de progrès est dépendante de la volonté qu'ont les hommes de croire que les bonnes choses durent toujours, qu'elles ne durent que le temps d'une rencontre.",Histoire_et_Violence
"Le cours naturel des événements est celui du hasard de la rencontre, et l'idéologie du progrès fait violence à cela.",Histoire_et_Violence
Car les choses durent le temps d'une rencontre signifie qu'elles ne durent pas toujours.,Histoire_et_Violence
Il en va de même avec la raison et la pensée ; ce n'est que parce qu'elle dure pour dépasser et permanente la pensée et la raison que l'idéologie du progrès peut envisager une construction infinie de l'homme vers la fin de la violence.,Histoire_et_Violence
"Or pensée et raison cheminent aussi par rencontres, avec des obstacles stimulants, des problèmes invitant résolution, etc.",Histoire_et_Violence
"Cela invite également à reconnaître que tout n'est pas pensé, c'est-à-dire qu'il y a aussi du pulsionnel, de l'émotionnel, rendant impossible la pureté dont se revendique une idéologie du progrès.",Histoire_et_Violence
"Comment alors tirer les enseignements de ce qui précède pour constituer la violence en problème politique en la sortant d'une nature humaine qui toujours devrait être dépassée, et comme supprimée dans ce dépassement ?",Histoire_et_Violence
"Une première solution est présentée dans la philosophie de l'histoire de Benjamin (Thèses sur le concept d'Histoire), elle consiste avant tout en une politique mémorielle.",Histoire_et_Violence
"Prenant acte de la conception impérialiste de l'Histoire qui a dominé l'occident, Benjamin encourage la création d'une Histoire (ou d'une historiographie) soutenue, qui ne serait plus celle écrite par les vainqueurs des guerres mais celle écrite par les vaincus.",Histoire_et_Violence
C'est une telle ambition que Benjamin reconnaît au mouvement surréaliste dans Le Surréalisme.,Histoire_et_Violence
Le dernier instantané de l'intelligentsia européenne (1929).,Histoire_et_Violence
"En effet le surréalisme rentre dans la conceptualisation benjaminienne du messianisme historique comme celui des opprimés, car il prend parti pour les courants perdants dans l'Histoire : le fouriérisme perdant face au marxisme, la sorcellerie et le mysticisme perdants face à l'Église, l'anarchisme perdant face au communisme (notamment dans la guerre civile espagnole de 1936-1939), et bien sûr la cause des fous (universellement perdants contre la raison et surtout le positivisme) que le surréalisme reprend dans le projet d'écriture automatique (l'automatisme étant au XIXe s' et au début du XXe siècles considéré comme le symptôme majeur de la folie, comme on le constate dans le Manuel de psychiatrie de Rogues de Fursac), considéré comme foyer principal de créativité artistique.",Histoire_et_Violence
"Ainsi, il s'agit de conserver la mémoire vivante des opprimés, à l'encontre du récit officiel qui s'inscrit dans une historiographie de la domination.",Histoire_et_Violence
Cela correspond à un mouvement commémoratif qui restaure une identité perdue et réintroduit de la cyclicité dans la temporalité linéaire de la civilisation occidentale.,Histoire_et_Violence
"En conclusion, il apparaît que la violence est par nature un problème temporel et donc historique.",Histoire_et_Violence
"De même, il apparaît qu'il ne faut plus comprendre ""violence et histoire"" comme deux concepts artificiellement reliés, mais comme coïncidant simultanément l'un dans l'autre.",Histoire_et_Violence
"Il ne saurait y avoir de progression de la violence vers une Histoire sans violence (ou une paix perpétuelle), mais une intégration de la violence au sein de cycles qui en permettent la gestion et l'encadrement, que ces cycles soient sous forme de jeux, de rites ou de commémorations.",Histoire_et_Violence
Tout l'enjeu pour la civilisation occidentale étant de se déprendre d'une conception linéaire du temps en politique et dans la culture en général.,Histoire_et_Violence
"Dans le langage ordinaire, on dit parfois d'une personne qu'elle maîtrise un art ou une technique ""à la perfection"".",L_idee_de_perfection_16
"Il semble qu'on emploie alors ""perfection"" comme superlatif : cette personne étant ""la meilleure"" dans son art.",L_idee_de_perfection_16
"La perfection apparaît alors comme le bien le plus haut, un summum bonum placé au sommet d'une gradation.",L_idee_de_perfection_16
"Cependant, il arrive bien souvent de dire ""c'est parfait"" pour exprimer un simple contentement.",L_idee_de_perfection_16
"Dans l'expérience, nous ne rencontrons jamais ""la"" perfection comme maximum mais, sans doute par analogie, nous qualifions de ""parfaits"" des biens qui s'en approchent.",L_idee_de_perfection_16
Ainsi la perfection n'est pas une qualité perçue empiriquement mais bien plutôt une idée proprement intellectuelle.,L_idee_de_perfection_16
"Seulement, quel est alors le fondement et l'origine de l'idée de perfection ?",L_idee_de_perfection_16
De deux choses l'une.,L_idee_de_perfection_16
Ou bien l'idée de perfection dérive de l'expérience et est comme abstraite d'exemples concrets.,L_idee_de_perfection_16
Ou bien l'idée de perfection est seulement découverte en nous.,L_idee_de_perfection_16
"Si, comme évoqué, la perfection, en tant que telle, ne se réalise jamais dans le monde empiriquement vécu, elle ne saurait en être extraite.",L_idee_de_perfection_16
"Mais l'autre terme de l'alternative est, lui aussi, confronté à de lourds problèmes : parce qu'elle ne porte en elle aucun contenu, la perfection ainsi entendue serait davantage une ""forme"" qu'une idée.",L_idee_de_perfection_16
"Poser le problème de l'origine de l'idée de perfection c'est, alors, demander quelle est la faculté à l'œuvre lorsqu'elle se donne à l'esprit.",L_idee_de_perfection_16
"Réduire l'idée de perfection à sa pure forme superlative c'est, semble-t-il, lui assigner la raison ou l'entendement pour origine.",L_idee_de_perfection_16
"Mais une telle réduction ne rend pas compte de l'expérience subjective de l'idée de ""perfection"", accompagnée, semble-t-il d'un sentiment esthétique qui porte en lui une charge affective.",L_idee_de_perfection_16
"N'y a t-il pas, dans l'expérience esthétique de certaines œuvres d'art, un accès à l'idée de perfection ?",L_idee_de_perfection_16
Peut-on penser l'idée de perfection dans toute sa force (c'est-à-dire ne pas rabattre sa signification à un simple contentement d'un bien) sans la dépouiller de tout contenu ?,L_idee_de_perfection_16
"Dans un premier moment nous soutiendrons l'universalité, la fixité, l'immuabilité et l'inscription dans tout être humain, de l'idée de perfection.",L_idee_de_perfection_16
"Seulement, une telle conception semblera se heurter à la diversité, notamment historique, de l'idée de perfection.",L_idee_de_perfection_16
Dans un second moment il semblera nécessaire de s'arracher radicalement de cette idée pour éviter l'uniformisation et la légitimation des inégalités qu'elle engendre.,L_idee_de_perfection_16
"Enfin, dans un dernier moment, nous tenterons de repenser l'idée de perfection de manière ouverte, et comme condition du futur.",L_idee_de_perfection_16
"Dans un premier moment, l'idée de perfection apparaîtra comme idée la plus haute et comme ne faisant qu'une avec ce qui est souverainement vrai, beau et bon.",L_idee_de_perfection_16
"Le concept de ""perfection"" semble conjuguer la dimension morale avec la dimension épistémologique.",L_idee_de_perfection_16
"Ces deux sens semblent pourtant prima facie assez hétérogènes l'un à l'autre : dans la première on dira d'un Homme qu'il agit de manière ""moralement parfaite"" par exemple, tandis que dans le seconde, on dira, par exemple, que le cercle est une figure ""plus parfaite"" que l'ovale.",L_idee_de_perfection_16
"Comment tenir qu'une telle variété des usages dépend d'une même ""idée de perfection"" ?",L_idee_de_perfection_16
"Cette difficulté tient d'abord à ce que, face au problème de savoir ce qu'est la perfection, ce n'est pas son essence qui vient en premier mais plutôt des exemples d'objets dont on dit qu'ils sont parfaits.",L_idee_de_perfection_16
Cette difficulté est aussi souvent celle des interlocuteurs de Socrate dans les dialogues de Platon.,L_idee_de_perfection_16
Donnons deux exemples.,L_idee_de_perfection_16
Socrate demande par exemple à Hippias ce qu'est la beauté et ce dernier répond : « une belle fille ».,L_idee_de_perfection_16
"Or, l'interrogation de type ""Qu'est-ce que"" n'invitait pas au particulier mais à une élévation vers l'universel.",L_idee_de_perfection_16
"Un autre exemple se trouve dans le dialogue du Ménon qui s'ouvre par le problème « Qu'est-ce que la vertu ? », où tout l'enjeu est d'en saisir l' « Idée » (eidos, idea) c'est-à-dire la Forme intelligible.",L_idee_de_perfection_16
Ceci permet de donner du sens à l'emploi du singulier dans le syntagme « l'idée de perfection ».,L_idee_de_perfection_16
"En effet, si nous employons l'adjectif ""parfait"" pour une multiplicité variée d'objets, il s'agit de penser l'unité dans cette diversité: toutes ces instances de perfection partagent en commun le fait de participer de ""l'idée de perfection"" qui n'est qu'une, et qui, pour Platon, existe de manière immuable et immobile.",L_idee_de_perfection_16
Le modèle de la participation (methexis) permet de penser l'unité dans la diversité à la fois hors de nous et en nous : la hiérarchie implicite dans l'idée de perfection n'a pas une existence relative aux sujets humains mais est inscrite métaphysiquement dans le monde même.,L_idee_de_perfection_16
"Il ne s'agit donc pas d'une idée inductive toujours marquée par les expériences empiriques dans laquelle elle s'origine, mais bien plutôt d'une réminiscence (anamnesis).",L_idee_de_perfection_16
Le dialogue du Ménon permet de saisir la dynamique à l'œuvre dans la réminiscence.,L_idee_de_perfection_16
Socrate demande d'abord à un jeune esclave s'il connaît la solution d'un problème de géométrie.,L_idee_de_perfection_16
Celui-ci répond qu'il l'ignore.,L_idee_de_perfection_16
"Or Socrate parvient à lui montrer, par un dialogue progressif, qu'il détient au contraire la réponse qui était seulement enfouie en son âme, comme elle l'est dans celle de tout Homme.",L_idee_de_perfection_16
"Sans doute que l'idée de perfection, qui semble faire tenir ensemble les idées de bien, beau et vrai, est-elle également, pour Platon, enfouie dans l'âme humaine.",L_idee_de_perfection_16
"Une telle unité de l'idée de perfection en tout Homme fait toutefois surgir une difficulté : pourquoi, dès lors, n'y a t-il pas toujours d'accord unanime et universel sur ce qui est parfait ?",L_idee_de_perfection_16
Il semble qu'il faut alors concilier l'unicité du parfait avec le constat des disputes et des divergences des idées sur celui-ci.,L_idee_de_perfection_16
"Il semble qu'il y ait, à ce problème, deux réponses qui ne sont pas exclusives mais qui sont solidaires de la difficulté plus ou moins grande de l'accès à l'idée de perfection.",L_idee_de_perfection_16
"En premier lieu, comment expliquer les divergences et les conflits sur cette idée alors même que tout Homme peut, en droit, y accéder ?",L_idee_de_perfection_16
Telle est précisément l'une des questions affrontée par Augustin au livre X des Confessions (§§21-39) qui porte sur la mémoire.,L_idee_de_perfection_16
"Augustin explique que certains hommes préfèrent ne voir l'idée de perfection que quand celle-ci va dans leur sens, les arrange, et, par orgueil, se mentent parfois à eux-mêmes (« ils aiment la vérité quand elle leur plaît : ils la haïssent quand elle les accuse »).",L_idee_de_perfection_16
"Dans une telle perspective, l'idée de perfection semble atteignable qu'à la condition d'une ascèse et en se détachant des affects les plus bas et vils.",L_idee_de_perfection_16
"Comme évoqué, il y a une autre raison expliquant les apparentes divergences sur l'idée de perfection, qui tient à ce qu'elle est peut-être insaisissable.",L_idee_de_perfection_16
"Si l'idée de perfection, est pensée comme située seulement sur la pointe de la pyramide ontologique (identifiée à l'idée du Bien, idée la plus haute selon Platon dans Le Sophiste), certains peuvent peut-être s'en approcher, mais elle semble si haute qu'elle demeure hors d'atteinte.",L_idee_de_perfection_16
Le caractère inaccessible pour l'entendement humain de l'idée de perfection se trouve à plus forte raison dans la défense de la perfection du monde par Leibniz.,L_idee_de_perfection_16
"Précisément, l'auteur des Essais de Théodicée répond à l'objection selon laquelle le monde devant nous ne correspond en rien à l'idée de perfection.",L_idee_de_perfection_16
"Au §14 de De l'Origine radicale des choses, il emploie la métaphore suivante : « Si nous étions placé extrêmement proche d'un tableau immense nous ne verrions « qu'un amas confus de couleurs placées au hasard », ignorant et occultant par là la Beauté de l'ensemble.",L_idee_de_perfection_16
L'idée de perfection doit toutefois être réhabilitée dans ce qu'elle a d'empirique et d'esthétique.,L_idee_de_perfection_16
"Elle n'est pas qu'un pur produit d'une rationalité désincarnée, elle peut être dite, à juste titre et légitimement, des objets sensibles.",L_idee_de_perfection_16
"Dans un deuxième moment, nous montrerons que l'idée de perfection s'origine dans la Beauté et l'esthétique.",L_idee_de_perfection_16
"L'idée de perfection telle qu'elle a été pensée par Platon conduit à voir dans le monde sensible, celui de l'expérience perceptive et matérielle, seulement de l'imperfection au profit d'un monde intelligible.",L_idee_de_perfection_16
"Or, celui-ci n'est qu'un ""arrière-monde"" qui dépouille in fine l'idée de perfection de tout contenu.",L_idee_de_perfection_16
"Pire encore, en ce qu'il n'y a que certains hommes qui peuvent s'en approcher (les philosophes, selon Platon aux livres II-IV de La République), cela constitue une légitimation des hiérarchies sociales, des inégalités sociales et une justification, de l'ordre en place, voire même un projet d'uniformisation des valeurs.",L_idee_de_perfection_16
"Montrons, en convoquant tour à tour les champs esthétiques, scientifiques et politiques, qu'il n'y a d'idée de perfection que relativement à une culture, une époque, un paradigme, et certaines normes intériorisées.",L_idee_de_perfection_16
"S'il y a une diversité des croyances religieuses, il semble que chacun place l'idée de perfection en son propre Dieu.",L_idee_de_perfection_16
Cela s'illustre par exemple par l'idée d'infinité.,L_idee_de_perfection_16
"Dans la Métaphysique d'Aristote, celui-ci répudie l'infinité pour son imperfection et pense la perfection d'un dieu (theos) qui soutient le monde comme cosmos fini.",L_idee_de_perfection_16
"Que l'infinité constitue ou non une perfection est une question insoluble en soi et ne prenant de sens qu'au sein d'un système, d'une théorie.",L_idee_de_perfection_16
"La beauté, tout comme la perfection, prétend à l'universalité et s'impose de manière normative.",L_idee_de_perfection_16
"Il semble donc probable que l'idée de perfection, c'est-à-dire les critères et normes du parfait, soient forgés avant tout par l'expérience, tout comme c'est le cas pour l'idée de beauté.",L_idee_de_perfection_16
"À la Renaissance Italienne, les idées de beauté et de perfection étaient rattachées à certaines règles géométriques (comme la perspective théorisée par Alberti) et qui apparaît fort éloigné des représentations ""aplaties"" et ""bidimensionnelles"" de l'art d'égypte antique ou encore de l'expressionnisme abstrait (les oeuvres de Pollock, par exemple).",L_idee_de_perfection_16
"Sans doute doit-on alors tout faire pour déconstruire ces carcans, pour sortir de l'idée de perfection que nous héritons de notre culture, de notre éducation et de nos expériences.",L_idee_de_perfection_16
"Il convient de refuser l'idée de perfection puisqu'elle implique toujours la discrimination de ce qui est imparfait, la supériorité de ceux qui répondent à ses critères.",L_idee_de_perfection_16
"Mais ne risque-t-on pas, en radicalisant cette voie, d'aboutir à l'absence de toute valeur ?",L_idee_de_perfection_16
Est-il seulement possible de s'arracher si radicalement à l'idée de perfection ?,L_idee_de_perfection_16
Peut-être qu'il est possible d'imposer des limites ou un cadre dans lequel l'idée de perfection laisse un espace suffisamment ouvert pour la multiplicité des valeurs.,L_idee_de_perfection_16
