N° du SMS dans 88milSMS;SMS;Transcodage_1;;Transcodage_2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Histoire d'etre sure certaine !
Demain je commence a 7h30 c'est ca?
Bisoux";"Histoire d'être sûre certaine !
Demain je commence à 7h30 c'est ça ?
Bisous";;"Histoire d'être sûre certaine !
Demain je commence à 7h30 c'est ça ?
Bisous";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Ca y est le truc d'sms commence mdr mon <SUR_5>;Ça y est le truc de SMS commence mort de rire mon <SUR_5>;« mdr » est transcodé en « mort de rire » car n'existe pas dans le Petit Robert en ligne 2014 (PR14);Ça y est le truc de SMS commence mort de rire mon <SUR_5>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Coucou! T'es pas la alors ce weekend? Et es-ce que tu sais si tes parents font quelque chose ce weekend? Parce qu'il y a la journée du patrimoine et plein de monument gratuit, et comme je suis seule, je me serai bien greffée ! Lol;Coucou! Tu es pas là alors ce week-end ? Et est-ce que tu sais si tes parents font quelque chose ce week-end ? Parce qu'il y a la journée du patrimoine et plein de monuments gratuits, et comme je suis seule, je me serais bien greffée ! Lol;"T'es => tu es (pour permettre un traitement automatique) ; ; lol existe dans le PR14 donc est maintenu tel quel.";Coucou! T'es pas là alors ce week-end ? Et est-ce que tu sais si tes parents font quelque chose ce week-end ? Parce qu'il y a la journée du patrimoine et plein de monuments gratuits, et comme je suis seule, je me serais bien greffée ! Lol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Ca y est ca y est! J'ai rempli tout un truc ce matin pour pouvoir avoir le numero etc;Ça y est ça y est ! J'ai rempli tout un truc ce matin pour pouvoir avoir le numéro etc;;Ça y est ça y est ! J'ai rempli tout un truc ce matin pour pouvoir avoir le numéro etc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Ha oui et au fait j'ai mis un bulletin a ton nom et num pour gagner une paire de chaussures lol jtexpliquerai !;Ha oui et au fait j'ai mis un bulletin à ton nom et numéro pour gagner une paire de chaussures lol je t'expliquerai !;;Ah oui et au fait j'ai mis un bulletin à ton nom et numéro pour gagner une paire de chaussures lol je t'expliquerai !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Haha merci beaucoup :). Tout se passe bien dans..ma chambre u! Lol. il fait une chaleur pas possible ici! J'espere que tout va bien toi <3;Ha ha merci beaucoup :). Tout se passe bien dans…ma chambre universitaire ! Lol. Il fait une chaleur pas possible ici ! J'espère que tout va bien toi <3;« ha » existe dans le PR14;Ha ha merci beaucoup :). Tout se passe bien dans… ma chambre universitaire ! Lol. Il fait une chaleur pas possible ici ! J'espère que tout va bien toi <3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Oh trop mignon mon bbé<3 jsuis au travaiiiil la;Oh trop mignon mon bébé <3 je suis au travail là;;Oh trop mignon mon bébé <3 je suis au travail là;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Penseea moi aujourdhhui! Lec mec qui saime pas trop;Pensez à moi aujourd'hui ! Le mec qui s'aime pas trop;;Pensez à moi aujourd'hui ! Le mec qui s'aime pas trop;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;"Bon alors jvais etre serieuse  un ptit moment ..  On se connais pas depuis longtemps cest le moins quon puisse dire mais je taime déjà beaucoup et ca me touche enormement que tu me confit des choses comme ca , donc a lavenir jveux que tu sache que petetre que je ne suis pas la personne ideal pour ca , surment quil ya des gens beaucoup mieu placer que moi pour te comprendre et ben je peux essaye et pyis meme si je ny arriverai surment pas toujours .. Bah quand on est triste et qu'on se sent seule , c'est bon de savoir quune personne est la pour toi , juste pour toi <3. Bonne nuit dors bien choux je taime ( oui parce que en plus detre tactile je suis super affective avec les gens *quelle plait cette <PRE_3> ;)* )";"Bon alors je vais être sérieuse un petit moment.. On se connaît pas depuis longtemps c'est le moins qu'on puisse dire mais je t'aime déjà beaucoup et ça me touche énormément que tu me confies des choses comme ça, donc à l'avenir je veux que tu saches que peut-être que je ne suis pas la personne idéale pour ça, sûrement qu'il y a des gens beaucoup mieux placés que moi pour te comprendre et ben je peux essayer et puis même si je n'y arriverai sûrement pas toujours… Bah quand on est triste et qu'on se sent seule, c'est bon de savoir qu'une personne est là pour toi, juste pour toi <3. Bonne nuit dors bien chou je t'aime (oui parce qu'en plus d'être tactile je suis super affective avec les gens *quelle plaie cette <PRE_3> ;)* )";;"Bon alors je vais être sérieuse un petit moment.. On se connaît pas depuis longtemps c'est le moins qu'on puisse dire mais je t'aime déjà beaucoup et ça me touche énormément que tu me confies des choses comme ça, donc à l'avenir je veux que tu saches que peut-être que je ne suis pas la personne idéale pour ça, sûrement qu'il y a des gens beaucoup mieux placés que moi pour te comprendre et ben je peux essayer et puis même si je n'y arriverai sûrement pas toujours… Bah quand on est triste et qu'on se sent seule, c'est bon de savoir qu'une personne est là pour toi, juste pour toi <3. Bonne nuit dors bien chou je t'aime (oui parce qu'en plus d'être tactile je suis super affective avec les gens *quelle plaie cette <PRE_3>  ;)* )";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Héhé on va gagner lipad;Hé hé on va gagner l'iPad;« hé » existe dans le PR14;Hé hé on va gagner l'iPad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;"Mon cher et tendre filleul... Je m'engage a etre a tes coté tt au long de ta vie... A te soutenir ds tes moments difficiles et a partager tes bons moments, je souhaite etre la pr toi qd tu en auras besoin... Un soutien, un avis,une Amie...
Tu viens de rentrer ds ma famille et j'en suis fière, notre relation va s'epanouir quel bonheur!!!  <3 <3 <3 <PRE_4> ta marraine ...";Mon cher et tendre filleul… Je m'engage à être à tes cotés tout au long de ta vie… À te soutenir dans tes moments difficiles et à partager tes bons moments, je souhaite être là pour toi quand tu en auras besoin… Un soutien, un avis, une Amie… Tu viens de rentrer dans ma famille et j'en suis fière, notre relation va s'épanouir quel bonheur !!! <3 <3 <3 <PRE_4> ta marraine…;;Mon cher et tendre filleul… Je m'engage à être à tes cotés tout au long de ta vie… À te soutenir dans tes moments difficiles et à partager tes bons moments, je souhaite être là pour toi quand tu en auras besoin… Un soutien, un avis, une Amie… Tu viens de rentrer dans ma famille et j'en suis fière, notre relation va s'épanouir quel bonheur !!! <3 <3 <3 <PRE_4> ta marraine…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Se soir tu m'apelle hein chou?;Ce soir tu m'appelles hein chou ?;;Ce soir tu m'appelles hein chou ?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Ohhhhhh non   ! Héhé j'te texto en mode scred mon bbé<3;Oh non ! Hé hé je t'envoie texto en mode scred mon bébé <3;;Oh non ! Hé hé je t'envoie texto en mode discret mon bébé <3;Scred = discret;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Vasi lache moi :o Aller plus tard je taime gros zoubia toi !<3;Vas-y lâche-moi :o Allez plus tard je t'aime gros bisous toi ! <3;« zoubia » n'existe pas dans le PR14 => bisous;Vas-y lâche-moi :o Allez plus tard je t'aime gros bisou à toi ! <3;gros zoubi à toi = gros bisou à toi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Des bisous, des bisous partout!;Des bisous, des bisous partout !;;Des bisous, des bisous partout !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Le plus svt possible je raterais peut etre 2 ou 3cours lol;Le plus souvent possible je raterai peut-être 2 ou 3 cours lol;;Le plus souvent possible je raterai peut-être 2 ou 3 cours lol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Ben sa va arrivé alors l'année derniere on avait un decalage aussi;Ben ça va arriver alors l'année dernière on avait un décalage aussi;;Ben ça va arriver alors l'année dernière on avait un décalage aussi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;La j'ai fini je regarde le film;Là j'ai fini je regarde le film;;Là j'ai fini je regarde le film;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Coucou! Mon permis c'est bien passé sauf a un rond point ou j'ai un peu foiré :s donc on verra bien. Voila! Bisous a toute ta petite famille;Coucou ! Mon permis s'est bien passé sauf à un rond point ou j'ai un peu foiré :s donc on verra bien. Voila ! Bisous à toute ta petite famille;;Coucou ! Mon permis s'est bien passé sauf à un rond point ou j'ai un peu foiré :s donc on verra bien. Voila ! Bisous à toute ta petite famille;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Je suis vraiment desolée;Je suis vraiment désolée;;Je suis vraiment désolée;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
